BPRNACan,BPRNACanProMet,BPRNACan3DProMet
MCF2L,FFAR1,LEF1
MCOLN3,FGD2,LGALS2
ME1,FGD4,LGALSL
ME3,FGF9,LGR6
MEF2C,FGFBP2,LHFPL2
MEOX1,FGFRL1,LILRA1
MERTK,FHIT,LILRA2
METTL1,FILIP1L,LILRA6
METTL7B,FKBP9,LILRB2
MFHAS1,FLRT2,LILRB3
MFSD2A,FN1,LIM2
MGAT3,FOSB,LIMD1
MICAL2,FOSL2,LIN7A
MID2,FPR1,LINGO1
MITF,FPR3,LINGO2
MKKS,FRMD4A,LMNA
MLLT3,FSCN1,LMO2
MLPH,FXYD2,LONRF3
MMD,FXYD7,LPAR3
MME,FYN,LPCAT2
MMP1,FZD1,LPL
MMP17,FZD2,LRFN2
MMP7,GABRA4,LRFN4
MMP9,GADD45GIP1,LRG1
MOB3B,GAL,LRIG1
MOGAT1,GALNT12,LRP1
MORC4,GAPT,LRP3
MPEG1,GAS1,LRRC25
MPHOSPH6,GAS6,LRRC4
MRAS,GBP4,LRRK1
MRC1,GCA,LRRK2
MRGPRF,GCNT4,LRRN3
MRPL11,GDF7,LSR
MRTO4,GEM,LTA
MS4A1,GFI1,LY86
MS4A14,GGACT,LY9
MS4A4A,GH1,LY96
MS4A6A,GIMAP5,LYN
MS4A7,GIMAP7,LYPD6B
MSANTD3,GIMAP8,LYZ
MSC,GJA5,MAF
MSI2,GLB1L2,MAFB
MSR1,GLP1R,MAGEE1
MT1E,GMPR,MAL
MT1G,GNAQ,MAN1C1
MT1H,GNB4,MANEAL
MT1M,GNG12,MANSC1
MT1X,GNLY,MAOA
MTFP1,GOLGA8A,MAP2
MTMR11,GOLT1A,MAP3K9
MTSS1,GPA33,MAP4K1
MTUS1,GPAT2,MAP9
MYBBP1A,GPATCH4,MARC1
MYBL1,GPBAR1,MARCH1
MYC,GPC4,MARCH9
MYCL,GPD1,MARCKS
MYLK,GPER1,MARCO
MYO1G,GPNMB,MARVELD1
MYO7A,GPR15,MATK
MYO7B,GPR162,MATN1
MYOF,GPR171,MB21D2
MYOZ1,GPR174,MBNL2
MZB1,GPR18,MBNL3
N4BP3,GPR27,MCF2L
NAP1L2,GPR84,MCOLN3
NAP1L3,GPR85,ME1
NCALD,GPRASP1,ME3
NCAM1,GRAMD1C,MEF2C
NCAPH,GRAP2,MEOX1
NCF2,GRASP,MERTK
NCF4,GRB10,METTL1
NCKAP1,GREM1,METTL7B
NCR1,GRIK4,MFHAS1
NCS1,GSPT2,MFSD2A
NDFIP2,GTF2H3,MGAT3
NDP,GTF2IRD1,MICAL2
NDUFAF4,GTSCR1,MID2
NEBL,GUCA1A,MITF
NECAB2,GUCY2F,MKKS
NEDD4L,GZMA,MLLT3
NEFH,GZMB,MLPH
NEK3,GZMH,MMD
NELL2,GZMK,MME
NENF,H6PD,MMP1
NEO1,HABP4,MMP17
NES,HAPLN3,MMP7
NETO1,HBEGF,MMP9
NETO2,HCAR3,MOB3B
NFAM1,HDX,MOGAT1
NFATC2,HEG1,MORC4
NFKB2,HEPACAM,MPEG1
NID1,HGF,MPHOSPH6
NINL,HHEX,MRAS
NIPAL1,HINT2,MRC1
NIPAL2,HIP1R,MRGPRF
NIPSNAP1,HIST1H3G,MRPL11
NKG7,HK2,MRTO4
NLRC4,HKDC1,MS4A1
NLRP1,HLA-DOA,MS4A14
NME8,HLA-DOB,MS4A4A
NMUR1,HLA-DPA1,MS4A6A
NOC3L,HLA-DPB1,MS4A7
NOS3,HLA-DQA1,MSANTD3
NPHP1,HLA-DQA2,MSC
NPR1,HLA-DQB2,MSI2
NPTXR,HLX,MSR1
NQO1,HNMT,MT1E
NR3C2,HOMER3,MT1G
NR4A1,HOOK1,MT1H
NR4A3,HOXB2,MT1M
NRG1,HOXB3,MT1X
NRP2,HPCAL4,MTFP1
NUPR1,HPGD,MTMR11
OAF,HRK,MTSS1
OBSL1,HS3ST1,MTUS1
OCSTAMP,HS3ST2,MYBBP1A
OLIG1,HSD11B1,MYBL1
OLR1,HSD17B14,MYC
OPHN1,HSH2D,MYCL
OPN3,HSPA6,MYLK
OR52K2,HSPB1,MYO1G
ORAI2,HSPH1,MYO7A
OSBPL10,HTRA1,MYO7B
OSBPL1A,HYKK,MYOF
OSBPL5,ICAM4,MYOZ1
OSM,ICAM5,MZB1
OTOA,ID1,N4BP3
OVOL1,IDO1,NAP1L2
OXER1,IER3IP1,NAP1L3
P2RX1,IFITM1,NCALD
P2RX5,IFNG,NCAM1
P2RY1,IFNGR2,NCAPH
P2RY10,IGFBP3,NCF2
P2RY11,IGFBP4,NCF4
P2RY12,IGFBP6,NCKAP1
P2RY13,IGFBP7,NCR1
P2RY2,IGSF9B,NCS1
PADI2,IKZF2,NDFIP2
PALLD,IKZF3,NDP
PANX2,IL10,NDUFAF4
PAPLN,IL12A,NEBL
PAQR5,IL12RB1,NECAB2
PARM1,IL12RB2,NEDD4L
PARVB,IL13RA1,NEFH
PAWR,IL17RB,NEK3
PAX5,IL18,NELL2
PC,IL18R1,NENF
PCBD1,IL1A,NEO1
PCDH1,IL1R2,NES
PCDH9,IL1RN,NETO1
PCNA,IL23A,NETO2
PCOLCE2,IL27RA,NFAM1
PCSK5,IL32,NFATC2
PDCD1LG2,IL6,NFKB2
PDE4B,IL6R,NID1
PDGFC,IL7R,NINL
PDGFRA,INF2,NIPAL1
PDGFRB,INSL3,NIPAL2
PDK4,IPCEF1,NIPSNAP1
PDLIM4,IQSEC2,NKG7
PDXP,IRAK3,NLRC4
PDZRN4,IRF5,NLRP1
PEG10,IRF8,NME8
PEPD,IRGQ,NMUR1
PERP,IRS1,NOC3L
PES1,ISM1,NOS3
PFKFB4,ITGA1,NPHP1
PFN2,ITGA2B,NPR1
PGBD5,ITGA3,NPTXR
PHACTR1,ITGA6,NQO1
PHLDA2,ITGB5,NR3C2
PHLDA3,ITGB7,NR4A1
PHLDB2,ITGB8,NR4A3
PI16,ITK,NRG1
PID1,ITM2A,NRP2
PIK3AP1,ITPR1,NUPR1
PIR,ITPR3,OAF
PITPNM2,ITPRIPL1,OBSL1
PJA1,ITSN1,OCSTAMP
PKD2L1,JAG1,OLIG1
PKHD1L1,JAK3,OLR1
PKIB,JAKMIP1,OPHN1
PLA2G4A,JAKMIP2,OPN3
PLA2G7,JAM3,OR52K2
PLAC8,JDP2,ORAI2
PLAU,JUP,OSBPL10
PLBD1,KCNA3,OSBPL1A
PLCH2,KCNE1,OSBPL5
PLCL1,KCNE3,OSM
PLD1,KCNF1,OTOA
PLD4,KCNG1,OVOL1
PLEK2,KCNH3,OXER1
PLEKHA1,KCNJ15,P2RX1
PLEKHA5,KCNJ2,P2RX5
PLEKHA6,KCNJ5,P2RY1
PLEKHB1,KCNK13,P2RY10
PLEKHF1,KCNMB1,P2RY11
PLEKHG1,KCNN4,P2RY12
PLEKHG4,KCNQ5,P2RY13
PLTP,KCTD12,P2RY2
PLXDC1,KCTD15,PADI2
PLXNA1,KHDRBS2,PALLD
PLXNB2,KIAA0513,PANX2
PNMA3,KIAA1210,PAPLN
PNOC,KIAA1324,PAQR5
PNPLA3,KIAA1671,PARM1
POU2AF1,KIF13A,PARVB
POU6F1,KIF19,PAWR
PPIC,KIF21B,PAX5
PPM1F,KIF4A,PC
PPM1H,KIF5C,PCBD1
PPP1R14C,KIFC3,PCDH1
PPP1R16B,KIR2DL3,PCDH9
PPP2R2B,KIR3DL1,PCNA
PRAM1,KIR3DX1,PCOLCE2
PRF1,KITLG,PCSK5
PRKAR2B,KLF12,PDCD1LG2
PRKCA,KLF8,PDE4B
PRKCH,KLK4,PDGFC
PRKCQ,KLRB1,PDGFRA
PRMT6,KLRC1,PDGFRB
PROCR,KLRC2,PDK4
PRR7,KLRC3,PDLIM4
PRRG4,KLRC4,PDXP
PRSS22,KLRD1,PDZRN4
PRSS23,KLRF1,PEG10
PSAT1,KLRG1,PEPD
PSTPIP2,KLRK1,PERP
PTGDR,KMO,PES1
PTGDS,KRT2,PFKFB4
PTGER2,KRT23,PFN2
PTGFRN,KRT3,PGBD5
PTGS2,KRT4,PHACTR1
PTK2,KRT78,PHLDA2
PTMS,KRT86,PHLDA3
PTPRK,KYNU,PHLDB2
PTPRM,L3MBTL4,PI16
PTPRO,LAG3,PID1
PTX3,LAMA5,PIK3AP1
PVR,LAMB2,PIR
PXDC1,LAMB3,PITPNM2
PXN,LAMC1,PJA1
PYGL,LAT2,PKD2L1
PYHIN1,LAX1,PKHD1L1
QPCT,LBH,PKIB
QRSL1,LCK,PLA2G4A
QSOX2,LDHAL6B,PLA2G7
RAB13,LDHB,PLAC8
RAB31,LDHD,PLAU
RAB32,LDLRAD3,PLBD1
RAB39A,LDOC1,PLCH2
RAB39B,LEF1,PLCL1
RAB42,LGALS2,PLD1
RAMP1,LGALSL,PLD4
RAPGEF3,LGR6,PLEK2
RAPGEF5,LHFPL2,PLEKHA1
RARRES1,LILRA1,PLEKHA5
RASGEF1B,LILRA2,PLEKHA6
RASGRF1,LILRA6,PLEKHB1
RASGRF2,LILRB2,PLEKHF1
RASGRP1,LILRB3,PLEKHG1
RASGRP2,LIM2,PLEKHG4
RASGRP3,LIMD1,PLTP
RASL11B,LIN7A,PLXDC1
RASSF4,LINGO1,PLXNA1
RBM47,LINGO2,PLXNB2
RBP7,LMNA,PNMA3
RCAN3,LMO2,PNOC
RCN1,LONRF3,PNPLA3
RCVRN,LPAR3,POU2AF1
RDH14,LPCAT2,POU6F1
REM2,LPL,PPIC
RET,LRFN2,PPM1F
RGL1,LRFN4,PPM1H
RGS16,LRG1,PPP1R14C
RGS20,LRIG1,PPP1R16B
RGS9,LRP1,PPP2R2B
RHBDF1,LRP3,PRAM1
RHOH,LRRC25,PRF1
RHOU,LRRC4,PRKAR2B
RIC3,LRRK1,PRKCA
RIN2,LRRK2,PRKCH
RLN1,LRRN3,PRKCQ
RLN2,LSR,PRMT6
RNF128,LTA,PROCR
RNF157,LY86,PRR7
RNF217,LY9,PRRG4
RORA,LY96,PRSS22
RPGRIP1,LYN,PRSS23
RPH3A,LYPD6B,PSAT1
RPP25,LYZ,PSTPIP2
RPS6KA5,MAF,PTGDR
RRAGD,MAFB,PTGDS
RRP15,MAGEE1,PTGER2
RRP9,MAL,PTGFRN
RRS1,MAN1C1,PTGS2
RSC1A1,MANEAL,PTK2
RTKN,MANSC1,PTMS
RTN1,MAOA,PTPRK
RTN4R,MAP2,PTPRM
RUSC2,MAP3K9,PTPRO
S100A1,MAP4K1,PTX3
S100A16,MAP9,PVR
S100Z,MARC1,PXDC1
S1PR1,MARCH1,PXN
S1PR3,MARCH9,PYGL
S1PR5,MARCKS,PYHIN1
SALL2,MARCO,QPCT
SAMD3,MARVELD1,QRSL1
SAMD4A,MATK,QSOX2
SARS2,MATN1,RAB13
SCARF1,MB21D2,RAB31
SCG5,MBNL2,RAB32
SCML1,MBNL3,RAB39A
SCN3A,MCF2L,RAB39B
SDC2,MCOLN3,RAB42
SDC4,ME1,RAMP1
SDK2,ME3,RAPGEF3
SDR42E1,MEF2C,RAPGEF5
SDSL,MEOX1,RARRES1
SEC14L2,MERTK,RASGEF1B
SEMA3G,METTL1,RASGRF1
SEMA4C,METTL7B,RASGRF2
SERPINA1,MFHAS1,RASGRP1
SERPINE1,MFSD2A,RASGRP2
SERPINF1,MGAT3,RASGRP3
SGMS2,MICAL2,RASL11B
SGPP2,MID2,RASSF4
SH2D1A,MITF,RBM47
SH2D1B,MKKS,RBP7
SH2D2A,MLLT3,RCAN3
SH2D3A,MLPH,RCN1
SH3TC1,MMD,RCVRN
SHANK3,MME,RDH14
SHB,MMP1,REM2
SIDT1,MMP17,RET
SIGLEC10,MMP7,RGL1
SIGLEC7,MMP9,RGS16
SIPA1L2,MOB3B,RGS20
SIRPD,MOGAT1,RGS9
SIT1,MORC4,RHBDF1
SKAP1,MPEG1,RHOH
SLA2,MPHOSPH6,RHOU
SLAIN1,MRAS,RIC3
SLAMF1,MRC1,RIN2
SLAMF6,MRGPRF,RLN1
SLAMF9,MRPL11,RLN2
SLC11A1,MRTO4,RNF128
SLC12A7,MS4A1,RNF157
SLC14A1,MS4A14,RNF217
SLC15A2,MS4A4A,RORA
SLC16A10,MS4A6A,RPGRIP1
SLC16A11,MS4A7,RPH3A
SLC1A3,MSANTD3,RPP25
SLC22A15,MSC,RPS6KA5
SLC22A16,MSI2,RRAGD
SLC22A17,MSR1,RRP15
SLC22A4,MT1E,RRP9
SLC24A4,MT1G,RRS1
SLC25A24,MT1H,RSC1A1
SLC25A4,MT1M,RTKN
SLC25A43,MT1X,RTN1
SLC25A48,MTFP1,RTN4R
SLC2A6,MTMR11,RUSC2
SLC30A4,MTSS1,S100A1
SLC38A1,MTUS1,S100A16
SLC38A11,MYBBP1A,S100Z
SLC39A8,MYBL1,S1PR1
SLC45A3,MYC,S1PR3
SLC45A4,MYCL,S1PR5
SLC46A2,MYLK,SALL2
SLC4A4,MYO1G,SAMD3
SLC51B,MYO7A,SAMD4A
SLC5A5,MYO7B,SARS2
SLC6A12,MYOF,SCARF1
SLC7A7,MYOZ1,SCG5
SLC8A1,MZB1,SCML1
SLC9A2,N4BP3,SCN3A
SLCO2B1,NAP1L2,SDC2
SLCO3A1,NAP1L3,SDC4
SLCO4A1,NCALD,SDK2
SLITRK4,NCAM1,SDR42E1
SLPI,NCAPH,SDSL
SMAD1,NCF2,SEC14L2
SMYD5,NCF4,SEMA3G
SNED1,NCKAP1,SEMA4C
SNPH,NCR1,SERPINA1
SNX25,NCS1,SERPINE1
SOAT1,NDFIP2,SERPINF1
SOCS2,NDP,SGMS2
SOCS6,NDUFAF4,SGPP2
SOGA1,NEBL,SH2D1A
SORL1,NECAB2,SH2D1B
SORT1,NEDD4L,SH2D2A
SOWAHC,NEFH,SH2D3A
SOX8,NEK3,SH3TC1
SPARC,NELL2,SHANK3
SPATA5,NENF,SHB
SPATA9,NEO1,SIDT1
SPEG,NES,SIGLEC10
SPI1,NETO1,SIGLEC7
SPIB,NETO2,SIPA1L2
SPIN4,NFAM1,SIRPD
SPINK2,NFATC2,SIT1
SPINT2,NFKB2,SKAP1
SPOCK2,NID1,SLA2
SPP1,NINL,SLAIN1
SPR,NIPAL1,SLAMF1
SPRY4,NIPAL2,SLAMF6
SPSB1,NIPSNAP1,SLAMF9
SRCIN1,NKG7,SLC11A1
SRD5A3,NLRC4,SLC12A7
SRGAP1,NLRP1,SLC14A1
SSTR2,NME8,SLC15A2
SSTR3,NMUR1,SLC16A10
ST14,NOC3L,SLC16A11
ST18,NOS3,SLC1A3
ST3GAL5,NPHP1,SLC22A15
ST3GAL6,NPR1,SLC22A16
ST6GALNAC1,NPTXR,SLC22A17
ST6GALNAC2,NQO1,SLC22A4
ST6GALNAC4,NR3C2,SLC24A4
ST6GALNAC6,NR4A1,SLC25A24
ST8SIA1,NR4A3,SLC25A4
STAB1,NRG1,SLC25A43
STAP1,NRP2,SLC25A48
STARD8,NUPR1,SLC2A6
STEAP4,OAF,SLC30A4
STOM,OBSL1,SLC38A1
STRBP,OCSTAMP,SLC38A11
STRIP2,OLIG1,SLC39A8
SUCNR1,OLR1,SLC45A3
SULF2,OPHN1,SLC45A4
SULT1A1,OPN3,SLC46A2
SULT1B1,OR52K2,SLC4A4
SULT1C2,ORAI2,SLC51B
SUN1,OSBPL10,SLC5A5
SUSD4,OSBPL1A,SLC6A12
SWAP70,OSBPL5,SLC7A7
SYDE2,OSM,SLC8A1
SYK,OTOA,SLC9A2
SYNE2,OVOL1,SLCO2B1
SYNPO,OXER1,SLCO3A1
SYT17,P2RX1,SLCO4A1
SYTL2,P2RX5,SLITRK4
TAF4B,P2RY1,SLPI
TBC1D12,P2RY10,SMAD1
TBC1D9,P2RY11,SMYD5
TBX21,P2RY12,SNED1
TC2N,P2RY13,SNPH
TCEA3,P2RY2,SNX25
TCF4,PADI2,SOAT1
TCF7,PALLD,SOCS2
TCL1A,PANX2,SOCS6
TCN1,PAPLN,SOGA1
TCN2,PAQR5,SORL1
TDO2,PARM1,SORT1
TESPA1,PARVB,SOWAHC
TGFBI,PAWR,SOX8
TGFBR3,PAX5,SPARC
TGM2,PC,SPATA5
THBD,PCBD1,SPATA9
THG1L,PCDH1,SPEG
TIAM1,PCDH9,SPI1
TIE1,PCNA,SPIB
TIGIT,PCOLCE2,SPIN4
TIMP2,PCSK5,SPINK2
TIMP3,PDCD1LG2,SPINT2
TIMP4,PDE4B,SPOCK2
TJP3,PDGFC,SPP1
TKTL1,PDGFRA,SPR
TKTL2,PDGFRB,SPRY4
TLR10,PDK4,SPSB1
TLR4,PDLIM4,SRCIN1
TLR5,PDXP,SRD5A3
TLR7,PDZRN4,SRGAP1
TLR8,PEG10,SSTR2
TM4SF19,PEPD,SSTR3
TMEM123,PERP,ST14
TMEM154,PES1,ST18
TMEM176A,PFKFB4,ST3GAL5
TMEM176B,PFN2,ST3GAL6
TMEM204,PGBD5,ST6GALNAC1
TMEM30A,PHACTR1,ST6GALNAC2
TMEM30B,PHLDA2,ST6GALNAC4
TMEM37,PHLDA3,ST6GALNAC6
TMEM51,PHLDB2,ST8SIA1
TMEM86A,PI16,STAB1
TMTC2,PID1,STAP1
TNC,PIK3AP1,STARD8
TNFAIP2,PIR,STEAP4
TNFAIP6,PITPNM2,STOM
TNFRSF10C,PJA1,STRBP
TNFRSF11A,PKD2L1,STRIP2
TNFRSF13C,PKHD1L1,SUCNR1
TNFRSF21,PKIB,SULF2
TNFRSF25,PLA2G4A,SULT1A1
TNFRSF8,PLA2G7,SULT1B1
TNFSF13,PLAC8,SULT1C2
TNFSF14,PLAU,SUN1
TNFSF15,PLBD1,SUSD4
TNFSF9,PLCH2,SWAP70
TNIP3,PLCL1,SYDE2
TNK1,PLD1,SYK
TNNC1,PLD4,SYNE2
TNNI2,PLEK2,SYNPO
TNNT3,PLEKHA1,SYT17
TNS3,PLEKHA5,SYTL2
TOX,PLEKHA6,TAF4B
TP53I3,PLEKHB1,TBC1D12
TPD52,PLEKHF1,TBC1D9
TPD52L1,PLEKHG1,TBX21
TRABD2A,PLEKHG4,TC2N
TRAT1,PLTP,TCEA3
TREM1,PLXDC1,TCF4
TREM2,PLXNA1,TCF7
TRHDE,PLXNB2,TCL1A
TRIB1,PNMA3,TCN1
TRIB2,PNOC,TCN2
TRIM32,PNPLA3,TDO2
TRIM47,POU2AF1,TESPA1
TRIM54,POU6F1,TGFBI
TRIM7,PPIC,TGFBR3
TRMT5,PPM1F,TGM2
TRPM8,PPM1H,THBD
TRUB2,PPP1R14C,THG1L
TSFM,PPP1R16B,TIAM1
TSHZ2,PPP2R2B,TIE1
TSKU,PRAM1,TIGIT
TSPAN18,PRF1,TIMP2
TSPYL2,PRKAR2B,TIMP3
TSPYL5,PRKCA,TIMP4
TTC16,PRKCH,TJP3
TTC24,PRKCQ,TKTL1
TTN,PRMT6,TKTL2
TUBB6,PROCR,TLR10
TYMS,PRR7,TLR4
TYROBP,PRRG4,TLR5
UBASH3A,PRSS22,TLR7
UBE2E2,PRSS23,TLR8
UBXN10,PSAT1,TM4SF19
UCHL1,PSTPIP2,TMEM123
UGGT2,PTGDR,TMEM154
UGT8,PTGDS,TMEM176A
UPK3A,PTGER2,TMEM176B
UQCC2,PTGFRN,TMEM204
URB1,PTGS2,TMEM30A
USP2,PTK2,TMEM30B
UST,PTMS,TMEM37
UTP20,PTPRK,TMEM51
VASH1,PTPRM,TMEM86A
VAV3,PTPRO,TMTC2
VCAN,PTX3,TNC
VEGFA,PVR,TNFAIP2
VENTX,PXDC1,TNFAIP6
VIPR1,PXN,TNFRSF10C
VLDLR,PYGL,TNFRSF11A
VNN1,PYHIN1,TNFRSF13C
VPREB3,QPCT,TNFRSF21
WDFY3,QRSL1,TNFRSF25
WDFY4,QSOX2,TNFRSF8
WDR54,RAB13,TNFSF13
WFIKKN2,RAB31,TNFSF14
WLS,RAB32,TNFSF15
WNT7A,RAB39A,TNFSF9
XCL1,RAB39B,TNIP3
XCL2,RAB42,TNK1
XKR3,RAMP1,TNNC1
YES1,RAPGEF3,TNNI2
YPEL4,RAPGEF5,TNNT3
ZAP70,RARRES1,TNS3
ZBP1,RASGEF1B,TOX
ZBTB16,RASGRF1,TP53I3
ZBTB39,RASGRF2,TPD52
ZBTB47,RASGRP1,TPD52L1
ZC3H12C,RASGRP2,TRABD2A
ZDBF2,RASGRP3,TRAT1
ZFYVE28,RASL11B,TREM1
ZFYVE9,RASSF4,TREM2
ZNF157,RBM47,TRHDE
ZNF202,RBP7,TRIB1
ZNF22,RCAN3,TRIB2
ZNF354C,RCN1,TRIM32
ZNF366,RCVRN,TRIM47
ZNF382,RDH14,TRIM54
ZNF467,REM2,TRIM7
ZNF483,RET,TRMT5
ZNF503,RGL1,TRPM8
ZNF532,RGS16,TRUB2
ZNF594,RGS20,TSFM
ZNF667,RGS9,TSHZ2
ZNF697,RHBDF1,TSKU
ZNF703,RHOH,TSPAN18
ZNF711,RHOU,TSPYL2
ZNF827,RIC3,TSPYL5
ZNF853,RIN2,TTC16
ZNRF1,RLN1,TTC24
ZP3,RLN2,TTN
ZSWIM5,RNF128,TUBB6
ZXDA,RNF157,TYMS
ZXDB,RNF217,TYROBP
,RORA,UBASH3A
,RPGRIP1,UBE2E2
,RPH3A,UBXN10
,RPP25,UCHL1
,RPS6KA5,UGGT2
,RRAGD,UGT8
,RRP15,UPK3A
,RRP9,UQCC2
,RRS1,URB1
,RSC1A1,USP2
,RTKN,UST
,RTN1,UTP20
,RTN4R,VASH1
,RUSC2,VAV3
,S100A1,VCAN
,S100A16,VEGFA
,S100Z,VENTX
,S1PR1,VIPR1
,S1PR3,VLDLR
,S1PR5,VNN1
,SALL2,VPREB3
,SAMD3,WDFY3
,SAMD4A,WDFY4
,SARS2,WDR54
,SCARF1,WFIKKN2
,SCG5,WLS
,SCML1,WNT7A
,SCN3A,XCL1
,SDC2,XCL2
,SDC4,XKR3
,SDK2,YES1
,SDR42E1,YPEL4
,SDSL,ZAP70
,SEC14L2,ZBP1
,SEMA3G,ZBTB16
,SEMA4C,ZBTB39
,SERPINA1,ZBTB47
,SERPINE1,ZC3H12C
,SERPINF1,ZDBF2
,SGMS2,ZFYVE28
,SGPP2,ZFYVE9
,SH2D1A,ZNF157
,SH2D1B,ZNF202
,SH2D2A,ZNF22
,SH2D3A,ZNF354C
,SH3TC1,ZNF366
,SHANK3,ZNF382
,SHB,ZNF467
,SIDT1,ZNF483
,SIGLEC10,ZNF503
,SIGLEC7,ZNF532
,SIPA1L2,ZNF594
,SIRPD,ZNF667
,SIT1,ZNF697
,SKAP1,ZNF703
,SLA2,ZNF711
,SLAIN1,ZNF827
,SLAMF1,ZNF853
,SLAMF6,ZNRF1
,SLAMF9,ZP3
,SLC11A1,ZSWIM5
,SLC12A7,ZXDA
,SLC14A1,ZXDB
,SLC15A2,
,SLC16A10,
,SLC16A11,
,SLC1A3,
,SLC22A15,
,SLC22A16,
,SLC22A17,
,SLC22A4,
,SLC24A4,
,SLC25A24,
,SLC25A4,
,SLC25A43,
,SLC25A48,
,SLC2A6,
,SLC30A4,
,SLC38A1,
,SLC38A11,
,SLC39A8,
,SLC45A3,
,SLC45A4,
,SLC46A2,
,SLC4A4,
,SLC51B,
,SLC5A5,
,SLC6A12,
,SLC7A7,
,SLC8A1,
,SLC9A2,
,SLCO2B1,
,SLCO3A1,
,SLCO4A1,
,SLITRK4,
,SLPI,
,SMAD1,
,SMYD5,
,SNED1,
,SNPH,
,SNX25,
,SOAT1,
,SOCS2,
,SOCS6,
,SOGA1,
,SORL1,
,SORT1,
,SOWAHC,
,SOX8,
,SPARC,
,SPATA5,
,SPATA9,
,SPEG,
,SPI1,
,SPIB,
,SPIN4,
,SPINK2,
,SPINT2,
,SPOCK2,
,SPP1,
,SPR,
,SPRY4,
,SPSB1,
,SRCIN1,
,SRD5A3,
,SRGAP1,
,SSTR2,
,SSTR3,
,ST14,
,ST18,
,ST3GAL5,
,ST3GAL6,
,ST6GALNAC1,
,ST6GALNAC2,
,ST6GALNAC4,
,ST6GALNAC6,
,ST8SIA1,
,STAB1,
,STAP1,
,STARD8,
,STEAP4,
,STOM,
,STRBP,
,STRIP2,
,SUCNR1,
,SULF2,
,SULT1A1,
,SULT1B1,
,SULT1C2,
,SUN1,
,SUSD4,
,SWAP70,
,SYDE2,
,SYK,
,SYNE2,
,SYNPO,
,SYT17,
,SYTL2,
,TAF4B,
,TBC1D12,
,TBC1D9,
,TBX21,
,TC2N,
,TCEA3,
,TCF4,
,TCF7,
,TCL1A,
,TCN1,
,TCN2,
,TDO2,
,TESPA1,
,TGFBI,
,TGFBR3,
,TGM2,
,THBD,
,THG1L,
,TIAM1,
,TIE1,
,TIGIT,
,TIMP2,
,TIMP3,
,TIMP4,
,TJP3,
,TKTL1,
,TKTL2,
,TLR10,
,TLR4,
,TLR5,
,TLR7,
,TLR8,
,TM4SF19,
,TMEM123,
,TMEM154,
,TMEM176A,
,TMEM176B,
,TMEM204,
,TMEM30A,
,TMEM30B,
,TMEM37,
,TMEM51,
,TMEM86A,
,TMTC2,
,TNC,
,TNFAIP2,
,TNFAIP6,
,TNFRSF10C,
,TNFRSF11A,
,TNFRSF13C,
,TNFRSF21,
,TNFRSF25,
,TNFRSF8,
,TNFSF13,
,TNFSF14,
,TNFSF15,
,TNFSF9,
,TNIP3,
,TNK1,
,TNNC1,
,TNNI2,
,TNNT3,
,TNS3,
,TOX,
,TP53I3,
,TPD52,
,TPD52L1,
,TRABD2A,
,TRAT1,
,TREM1,
,TREM2,
,TRHDE,
,TRIB1,
,TRIB2,
,TRIM32,
,TRIM47,
,TRIM54,
,TRIM7,
,TRMT5,
,TRPM8,
,TRUB2,
,TSFM,
,TSHZ2,
,TSKU,
,TSPAN18,
,TSPYL2,
,TSPYL5,
,TTC16,
,TTC24,
,TTN,
,TUBB6,
,TYMS,
,TYROBP,
,UBASH3A,
,UBE2E2,
,UBXN10,
,UCHL1,
,UGGT2,
,UGT8,
,UPK3A,
,UQCC2,
,URB1,
,USP2,
,UST,
,UTP20,
,VASH1,
,VAV3,
,VCAN,
,VEGFA,
,VENTX,
,VIPR1,
,VLDLR,
,VNN1,
,VPREB3,
,WDFY3,
,WDFY4,
,WDR54,
,WFIKKN2,
,WLS,
,WNT7A,
,XCL1,
,XCL2,
,XKR3,
,YES1,
,YPEL4,
,ZAP70,
,ZBP1,
,ZBTB16,
,ZBTB39,
,ZBTB47,
,ZC3H12C,
,ZDBF2,
,ZFYVE28,
,ZFYVE9,
,ZNF157,
,ZNF202,
,ZNF22,
,ZNF354C,
,ZNF366,
,ZNF382,
,ZNF467,
,ZNF483,
,ZNF503,
,ZNF532,
,ZNF594,
,ZNF667,
,ZNF697,
,ZNF703,
,ZNF711,
,ZNF827,
,ZNF853,
,ZNRF1,
,ZP3,
,ZSWIM5,
,ZXDA,
,ZXDB,
